Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
471,Duncan Robinson\robindu01,SG,27,MIA,73,67,1923,273,686,.398,217,586,.370,56,100,.560,.556,49,58,.845,23,171,194,121,38,13,58,189,812
472,Justin Robinson\robinju01,PG,24,TOT,25,0,304,28,93,.301,18,61,.295,10,32,.313,.398,4,8,.500,4,17,21,32,9,1,17,27,78
472,Justin Robinson\robinju01,PG,24,MIL,17,0,198,18,57,.316,10,37,.270,8,20,.400,.404,2,2,1.000,2,11,13,21,8,0,11,17,48
472,Justin Robinson\robinju01,PG,24,SAC,3,0,15,1,8,.125,0,3,.000,1,5,.200,.125,0,0,,0,1,1,2,0,0,1,2,2
472,Justin Robinson\robinju01,PG,24,DET,5,0,91,9,28,.321,8,21,.381,1,7,.143,.464,2,6,.333,2,5,7,9,1,1,5,8,28
473,Mitchell Robinson\robinmi01,C,23,NYK,69,59,1758,251,329,.763,0,0,,251,329,.763,.763,83,171,.485,282,313,595,36,53,124,58,191,585
474,Jeremiah Robinson-Earl\robinje02,C,21,OKC,45,36,1029,119,297,.401,50,152,.329,69,145,.476,.485,32,44,.727,73,189,262,45,28,15,35,74,320
475,Isaiah Roby\robyis01,PF,23,OKC,38,21,748,127,242,.525,31,70,.443,96,172,.558,.589,62,86,.721,62,111,173,53,30,26,33,91,347
476,Rajon Rondo\rondora01,PG,35,TOT,35,1,635,63,165,.382,26,79,.329,37,86,.430,.461,19,26,.731,14,86,100,146,26,6,64,48,171
476,Rajon Rondo\rondora01,PG,35,LAL,18,0,289,23,71,.324,8,30,.267,15,41,.366,.380,1,2,.500,10,39,49,67,12,5,34,25,55
476,Rajon Rondo\rondora01,PG,35,CLE,17,1,346,40,94,.426,18,49,.367,22,45,.489,.521,18,24,.750,4,47,51,79,14,1,30,23,116
477,Derrick Rose\rosede01,PG,33,NYK,26,4,636,122,274,.445,37,92,.402,85,182,.467,.513,30,31,.968,21,57,78,103,22,12,39,15,311
478,Terrence Ross\rosste01,SG,30,ORL,61,0,1413,216,542,.399,76,256,.297,140,286,.490,.469,108,125,.864,20,136,156,113,28,12,75,67,616
479,Terry Rozier\roziete01,SG,27,CHO,67,67,2275,478,1078,.443,211,552,.382,267,526,.508,.541,138,163,.847,51,238,289,293,85,24,93,111,1305
480,Ricky Rubio\rubiori01,PG,31,CLE,34,8,970,149,411,.363,59,174,.339,90,237,.380,.434,88,103,.854,15,126,141,225,49,7,90,75,445
481,D'Angelo Russell\russeda01,PG,25,MIN,61,61,1949,378,918,.412,167,489,.342,211,429,.492,.503,177,215,.823,24,181,205,433,57,22,154,123,1100
482,Domantas Sabonis\sabondo01,C-PF,25,TOT,62,61,2136,443,773,.573,39,125,.312,404,648,.623,.598,246,332,.741,201,551,752,323,59,27,195,203,1171
482,Domantas Sabonis\sabondo01,C,25,IND,47,46,1632,331,571,.580,35,108,.324,296,463,.639,.610,191,258,.740,155,412,567,236,46,22,143,146,888
482,Domantas Sabonis\sabondo01,PF,25,SAC,15,15,504,112,202,.554,4,17,.235,108,185,.584,.564,55,74,.743,46,139,185,87,13,5,52,57,283
483,Olivier Sarr\sarrol01,C,22,OKC,18,2,304,36,65,.554,6,17,.353,30,48,.625,.600,13,18,.722,23,38,61,13,6,8,16,41,91
484,Tomáš Satoranský\satorto01,SG,30,TOT,47,5,732,57,159,.358,9,45,.200,48,114,.421,.387,37,46,.804,23,74,97,118,27,4,35,56,160
484,Tomáš Satoranský\satorto01,SG,30,NOP,32,3,481,32,107,.299,5,31,.161,27,76,.355,.322,19,25,.760,18,46,64,76,14,1,23,33,88
484,Tomáš Satoranský\satorto01,SG,30,SAS,1,0,9,0,0,,0,0,,0,0,,,3,4,.750,0,1,1,0,0,0,0,0,3
484,Tomáš Satoranský\satorto01,SG,30,WAS,14,2,242,25,52,.481,4,14,.286,21,38,.553,.519,15,17,.882,5,27,32,42,13,3,12,23,69
485,Jordan Schakel\schakjo01,SG,23,WAS,2,0,14,0,6,.000,0,3,.000,0,3,.000,.000,0,0,,2,1,3,0,0,0,0,0,0
486,Admiral Schofield\schofad01,SF,24,ORL,34,1,393,45,104,.433,20,64,.313,25,40,.625,.529,9,12,.750,13,58,71,23,4,5,18,52,119
487,Dennis Schröder\schrode01,SG-PG,28,TOT,64,29,1837,312,724,.431,86,250,.344,226,474,.477,.490,157,184,.853,34,180,214,296,53,8,143,154,867
487,Dennis Schröder\schrode01,SG,28,BOS,49,25,1433,257,584,.440,67,192,.349,190,392,.485,.497,123,145,.848,28,136,164,208,41,5,104,116,704
487,Dennis Schröder\schrode01,PG,28,HOU,15,4,404,55,140,.393,19,58,.328,36,82,.439,.461,34,39,.872,6,44,50,88,12,3,39,38,163
488,Tre Scott\scotttr01,SF,25,CLE,2,0,11,3,6,.500,0,1,.000,3,5,.600,.500,0,0,,1,1,2,0,1,1,0,2,6
489,Jay Scrubb\scrubja01,SG,21,LAC,18,0,121,18,46,.391,6,21,.286,12,25,.480,.457,7,10,.700,2,14,16,8,4,3,7,9,49
490,Wayne Selden\seldewa01,SG,27,NYK,3,0,19,1,4,.250,1,2,.500,0,2,.000,.375,2,4,.500,0,1,1,1,0,0,0,1,5
491,Alperen Şengün\sengual01,C,19,HOU,68,9,1353,228,483,.472,28,106,.264,200,377,.531,.501,154,221,.697,124,235,359,165,58,65,137,200,638
492,Collin Sexton\sextoco01,SG,23,CLE,11,11,316,68,151,.450,11,45,.244,57,106,.538,.487,29,39,.744,13,23,36,23,10,0,31,25,176
493,Landry Shamet\shamela01,SG,24,PHO,62,11,1279,163,417,.391,111,292,.380,52,125,.416,.524,67,80,.838,15,97,112,97,26,7,36,81,504
